"prefix","station_id","latitude","longitude","elevation","name","country"
"AJ","AJ000037575",41.55,46.667,490,"ZAKATALA","az"
"AY","AYM00088963",-63.4,-56.983,24,"BASE ESPERANZA",NA
"BC","BC000068026",-18.367,21.85,1000,"SHAKAWE","bw"
"BK","BKM00014542",44.783,17.217,156,"BANJA LUKA","ba"
"BP","BP000091503",-8.333,157.267,3,"MUNDA","sb"
"BU","BUM00015502",43.983,22.85,595,"VIDIN","bg"
"CE","CE000043497",6.117,81.133,20,"HAMBANTOTA","lk"
"CJ","CJW00011813",19.3,-81.3667,2.1,"ROBERTS","ky"
"CQ","CQC00914080",15.2156,145.7525,197.5,"MP CAPITOL HILL 1","us"
"CS","CS000078774",10.6,-85.533,80,"LIBERIA","cr"
"CT","CT000004600",4.22,15.78,583,"BERBERATI","cf"
"DA","DA000021100",56.7667,8.3167,18,"VESTERVIG","dk"
"DR","DRM00078458",19.75,-70.55,5,"PUERTO PLATA","do"
"EI","EI000003953",51.9394,-10.2219,9,"VALENTIA OBSERVATORY","ie"
"EN","EN000026027",59.3,23.35,5,"OSMUSSAR ISLAND","ee"
"EU","EUM00061972",-22.333,40.333,6,"ILE EUROPA","fr"
"EZ","EZ000011464",50.5544,13.9314,833,"MILESOVKA","cz"
"FG","FG000081405",4.833,-52.367,9,"ROCHAMBEAU","fr"
"FP","FP000091925",-9.8,-139.033,53,"HIVA-OA","fr"
"FS","FSM00061968",-11.583,47.283,4,"ILES GLORIEUSES","fr"
"HO","HO000078711",15.217,-83.8,13,"PUERTO LEMPIRA","hn"
"IC","IC000004013",65.0739,-22.7333,13,"STYKKISHOLMUR","is"
"IV","IV000005528",9.5,-7.57,432,"ODIENNE","ci"
"JA","JA000047401",45.417,141.683,12,"WAKKANAI","jp"
"JN","JNM00001001",70.9331,-8.6667,10,"JAN MAYEN","no"
"JQ","JQW00021601",16.7333,-169.5167,5.2,"UM JOHNSTON ISLAND","us"
"JU","JUM00061970",-17.05,42.717,10,"ILE JUAN DE NOVA","fr"
"KS","KS000047112",37.467,126.633,70,"INCHEON","kr"
"KT","KT000096995",-10.45,105.683,262,"CHRISTMAS ISLAND AE","au"
"KU","KU000405820",29.222,47.966,48,"KUWAIT INTERNATIONA","kw"
"LE","LEE00147734",33.85,36,920,"RAYACK","lb"
"LG","LG000026218",57.917,22.05,4,"SORVE","ee"
"LH","LH000026502",55.967,21.1,15,"PALANGA","lt"
"LO","LO000011934",49.0667,20.2331,694,"POPRAD/TATRY","sk"
"MB","MBM00078922",14.767,-60.883,34,"TRINITE CARAVELLE","fr"
"MI","MI000067421",-9.7,33.267,1278,"CHITIPA","mw"
"MJ","MJE00175528",43.3542,19.345,784,"PLJEVLJA","me"
"NH","NH000091554",-15.517,167.217,44,"PEKOA AIRPORT (SANT","vu"
"NN","NNM00078866",18.041,-63.109,4.3,"PRINCESS JULIANA INTL","nl"
"NS","NSM00081225",5.453,-55.188,18,"JOHAN A PENGEL INTL","sr"
"PC","PC000919640",-25.067,-130.1,265,"PITCAIRN ISLAND C","pn"
"PO","PO000008282",37.1167,-7.65,25,"TAVIRA","pt"
"PP","PP000092014",-5.217,145.8,4,"MADANG W.O.","pg"
"RI","RIE00100814",43.3331,21.9,201,"NIS","rs"
"RM","RMC00913915",7.2667,168.8333,1.8,"MH AILINGLAPALAP","mh"
"RP","RP000098232",18.367,121.633,3,"APARRI","ph"
"RQ","RQ1PRAB0001",18.2608,-66.1416,268.2,"PR AGUAS BUENAS 2.4 W","us"
"SF","SF000015170",-34.62,19.3,14,"DANGER POINT - VRT.","za"
"SP","SP000003195",40.4117,-3.6781,667,"MADRID - RETIRO","es"
"SU","SU000062600",21.82,31.35,190,"WADI HALFA","sd"
"SW","SW000002120",66.9597,17.73,314,"KVIKKJOKK-ARRENJARKA","se"
"TE","TEM00061976",-15.883,54.517,13,"SERGE-FROLOW (ILE TROMELIN)","fr"
"TI","TI000038589",40.217,68.833,317,"JANGIER","uz"
"TS","TS000060725",36.48,8.8,143,"JENDOUBA","tn"
"TU","TU000017040",41.0331,40.5167,9,"RIZE","tr"
"TX","TX000038261",42.3,59.133,71,"KENEURGENCH","tm"
"UC","UCM00078988",12.189,-68.96,8.8,"HATO","nl"
"UK","UK000000000",52.42,-1.83,78,"CET CENTRAL ENGLAND","gb"
"UP","UPM00033049",52.183,32.583,161,"SEMENOVKA","ua"
"UV","UV000005501",14.03,0.05,288,"DORI","bf"
"VM","VM000048900",10.82,106.67,5,"TAN SON HOA","vn"
"VQ","VQ1VISC0002",17.7572,-64.6353,42.4,"VI CHRISTIANSTED 4.8 E","us"
"WA","WA002737540",-28.57,16.43,30,"ORANJEMUND","na"
"WI","WIM00060096",23.7,-15.867,10,"VILLA CISNEROS(MIL)","ma"
"WQ","WQW00041606",19.2833,166.65,4.3,"UM WAKE ISLAND","us"
"WZ","WZ004094600",-27.17,31.27,983,"DWALENI","sz"
"ZI","ZI000067755",-17.617,27.333,617,"BINGA","zw"
